iter	Passed	Remaining
0	2	225
1	3	194
2	5	183
3	6	163
4	8	157
5	9	152
6	11	148
7	12	143
8	13	140
9	15	136
10	16	133
11	18	133
12	19	131
13	21	130
14	22	128
15	23	125
16	25	122
17	26	120
18	27	119
19	29	116
20	30	114
21	31	112
22	34	113
23	35	112
24	37	111
25	38	110
26	39	107
27	40	105
28	42	103
29	43	101
30	44	99
31	46	97
32	47	95
33	48	93
34	49	92
35	50	90
36	52	88
37	53	86
38	54	84
39	55	82
40	56	80
41	56	78
42	57	76
43	58	74
44	59	73
45	60	71
46	62	70
47	63	68
48	64	66
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	56
56	72	54
57	73	53
58	74	51
59	75	50
60	76	48
61	76	47
62	77	45
63	78	44
64	79	42
65	79	41
66	80	39
67	81	38
68	81	36
69	82	35
70	83	34
71	84	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	88	25
78	89	23
79	90	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	94	15
86	95	14
87	96	13
88	97	12
89	97	10
90	98	9
91	99	8
92	100	7
93	100	6
94	102	5
95	102	4
96	103	3
97	104	2
98	104	1
99	105	0
